"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-02-08","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"43184662900.34",,,,,,"Y"
"2017-02-08","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"42831635269.72",,,,,,"Y"
"2017-02-08","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"38737848455.37",,,,,,"Y"
"2017-02-08","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"26830992089.69",,,,,,"Y"
"2017-02-08","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"26676741179.94",,,,,,"Y"
"2017-02-08","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"21781574785.23",,,,,,"Y"
"2017-02-08","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"20890727654.61",,,,,,"Y"
"2017-02-08","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"20225382654.77",,,,,,"Y"
"2017-02-08","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"19428413734.19",,,,,,"Y"
"2017-02-08","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"18968266229.98",,,,,,"Y"
"2017-02-08","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"16699458917.05",,,,,,"Y"
"2017-02-08","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"15053048496",,,,,,"Y"
"2017-02-08","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"13626928078.78",,,,,,"Y"
"2017-02-08","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13495148364.19",,,,,,""
"2017-02-08","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"13228246468.83",,,,,,"Y"
"2017-02-08","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"12891149115.21",,,,,,"Y"
"2017-02-08","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"12591327640.6",,,,,,"Y"
"2017-02-08","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"12439279667.61",,,,,,"Y"
"2017-02-08","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"12211204354.57",,,,,,"Y"
"2017-02-08","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"12185639084.26",,,,,,"Y"
"2017-02-08","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"11873991206.97",,,,,,"Y"
"2017-02-08","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"11022654029.19",,,,,,"Y"
"2017-02-08","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"10845930156.34",,,,,,"Y"
"2017-02-08","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10831609738.71",,,,,,"Y"
"2017-02-08","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10738213446.83",,,,,,"Y"
"2017-02-08","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10463730470.73",,,,,,"Y"
"2017-02-08","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"10461463498.69",,,,,,"Y"
"2017-02-08","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"10245618491.95",,,,,,"Y"
"2017-02-08","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"10126990763.6",,,,,,"Y"
"2017-02-08","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"9704282188.19",,,,,,"Y"
"2017-02-08","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9480570455.45",,,,,,""
"2017-02-08","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"9369236375.19",,,,,,"Y"
"2017-02-08","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"9245681858.45",,,,,,"Y"
"2017-02-08","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"9205654075.24",,,,,,""
"2017-02-08","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"9143216513.3",,,,,,"Y"
"2017-02-08","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"9067726821.03",,,,,,"Y"
"2017-02-08","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"8788620701.27",,,,,,"Y"
"2017-02-08","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"8768228054.74",,,,,,"Y"
"2017-02-08","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"8549194160.23",,,,,,"Y"
"2017-02-08","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"8498574173.69",,,,,,"Y"
"2017-02-08","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8192983350.98",,,,,,""
"2017-02-08","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8082076329.99",,,,,,"Y"
"2017-02-08","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7732917816.18",,,,,,""
"2017-02-08","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"7685418061.2",,,,,,"Y"
"2017-02-08","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"7588560843.8",,,,,,"Y"
"2017-02-08","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7574642094.64",,,,,,""
"2017-02-08","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"7070119732.39",,,,,,""
"2017-02-08","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"6993356604.09",,,,,,""
"2017-02-08","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"6799523984.93",,,,,,""
"2017-02-08","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"6716254769.41",,,,,,"Y"
