"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2012-06-20","'3138EHBH4'","MBS","FNMA MORTPASS 4.5% 10/39","30yr",,,,,"21854218030.26",,,,,,"Y"
"2012-06-20","'3138EHBL5'","MBS","FNMA MORTPASS 4.5% 08/39","30yr",,,,,"16186928686.27",,,,,,"Y"
"2012-06-20","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"16067656646.31",,,,,,"Y"
"2012-06-20","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"15794645127.45",,,,,,"Y"
"2012-06-20","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"15236759396.56",,,,,,"Y"
"2012-06-20","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"14187891376.79",,,,,,"Y"
"2012-06-20","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"14174527561.36",,,,,,"Y"
"2012-06-20","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"14085160327.24",,,,,,"Y"
"2012-06-20","'3138EGNT7'","MBS","FNMA MORTPASS 4.5% 06/40","30yr",,,,,"14081680712.62",,,,,,"Y"
"2012-06-20","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"12910919836.44",,,,,,"Y"
"2012-06-20","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"12870674542.69",,,,,,"Y"
"2012-06-20","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"12737151645.54",,,,,,"Y"
"2012-06-20","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"12388614811.03",,,,,,"Y"
"2012-06-20","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"12266375511.37",,,,,,"Y"
"2012-06-20","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"11705460829.88",,,,,,"Y"
