"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2013-06-12","'36179M2P4'","MBS","GOVT NATL MTG 3% 02/43","30yr",,,,,"15281347530.51",,,,,,""
"2013-06-12","'3138EHBH4'","MBS","FED NATL MORT 4.5% 10/39","30yr",,,,,"14105166964.5",,,,,,"Y"
"2013-06-12","'36179MX39'","MBS","GNMA II SINGLE 3% 01/43","30yr",,,,,"11310110916.63",,,,,,""
"2013-06-12","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"10750591921.09",,,,,,"Y"
"2013-06-12","'36179M5L0'","MBS","GOVT NATL MTG 3% 03/43","30yr",,,,,"10687889031.92",,,,,,""
"2013-06-12","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"10104446534.22",,,,,,"Y"
"2013-06-12","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"10058882620.79",,,,,,"Y"
"2013-06-12","'36179MVR8'","MBS","GOVT NATL MTG 3% 12/42","30yr",,,,,"9961408507.23",,,,,,""
"2013-06-12","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"9854520835.83",,,,,,"Y"
"2013-06-12","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"9318093384.12",,,,,,"Y"
"2013-06-12","'3138EGNT7'","MBS","FED NATL MORT 4.5% 06/40","30yr",,,,,"9157671726.35",,,,,,"Y"
"2013-06-12","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"9045411128.21",,,,,,"Y"
"2013-06-12","'3138EHBL5'","MBS","FED NATL MORT 4.5% 08/39","30yr",,,,,"8918547890.87",,,,,,"Y"
"2013-06-12","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"8349527163.09",,,,,,"Y"
"2013-06-12","'36179MSW1'","MBS","GOVT NATIONAL 3% 11/42","30yr",,,,,"8320108055.6",,,,,,""
"2013-06-12","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"8121025275.55",,,,,,"Y"
"2013-06-12","'36179MAX8'","MBS","GNMA II GTD 3.5% 04/42","30yr",,,,,"8039892838.53",,,,,,""
"2013-06-12","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"7859034607.8",,,,,,"Y"
"2013-06-12","'3138EGF33'","MBS","FED NATL MORT 5% 06/40","30yr",,,,,"7776733513.38",,,,,,"Y"
"2013-06-12","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"7683583860.59",,,,,,"Y"
"2013-06-12","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"7237570573.51",,,,,,"Y"
"2013-06-12","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"7199991056.71",,,,,,"Y"
"2013-06-12","'36179NBA5'","MBS","GNMA II MORTPASS 3% 04/43","30yr",,,,,"7058000117.18",,,,,,""
"2013-06-12","'36179NDQ8'","MBS","GNMA II MORTPASS 3% 05/43","30yr",,,,,"6995410507",,,,,,""
"2013-06-12","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"6973101169.5",,,,,,"Y"
"2013-06-12","'3138EGVW1'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"6898447067.39",,,,,,"Y"
"2013-06-12","'3138EGWB6'","MBS","FED NATL MORT 5% 07/40","30yr",,,,,"6882028730.61",,,,,,"Y"
"2013-06-12","'36179MCZ1'","MBS","GOVERNMENT 3.5% 05/42","30yr",,,,,"6683882989.46",,,,,,""
