"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2012-07-18","'3138EHBH4'","MBS","FNMA MORTPASS 4.5% 10/39","30yr",,,,,"21266199774.35",,,,,,"Y"
"2012-07-18","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"15631251408.93",,,,,,"Y"
"2012-07-18","'3138EHBL5'","MBS","FNMA MORTPASS 4.5% 08/39","30yr",,,,,"15561556686.63",,,,,,"Y"
"2012-07-18","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"15420942154.82",,,,,,"Y"
"2012-07-18","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"14835967609.67",,,,,,"Y"
"2012-07-18","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"13784236952.5",,,,,,"Y"
"2012-07-18","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"13744141600.89",,,,,,"Y"
"2012-07-18","'3138EGNT7'","MBS","FNMA MORTPASS 4.5% 06/40","30yr",,,,,"13709065087.95",,,,,,"Y"
"2012-07-18","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"13473123476.24",,,,,,"Y"
"2012-07-18","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"12597733682.49",,,,,,"Y"
"2012-07-18","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"12465941081.73",,,,,,"Y"
"2012-07-18","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"12402488658.51",,,,,,"Y"
"2012-07-18","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"11912178033.83",,,,,,"Y"
"2012-07-18","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"11837883747.96",,,,,,"Y"
"2012-07-18","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"11471949196.25",,,,,,"Y"
"2012-07-18","'3128M8X58'","MBS","FHLMCGLD 4.5% 06/39","30yr",,,,,"11118622207.3",,,,,,"Y"
"2012-07-18","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"11035146231.45",,,,,,"Y"
"2012-07-18","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"10814892631.17",,,,,,"Y"
